"sep=	"
Shimmer9507_Timestamp_FormattedUnix_CAL	Shimmer9507_ECG_EMG_Status1_CAL	Shimmer9507_EMG_CH1_16BIT_CAL	Shimmer9507_EMG_CH2_16BIT_CAL	
yyyy/mm/dd hh:mm:ss.000	no units	mV	mV	
2015/06/26 12:36:00.662	128.0	-1.97561571092868	4.15125481938129	
2015/06/26 12:36:00.664	128.0	-1.97561571092868	4.15125481938129	
2015/06/26 12:36:00.666	128.0	-1.94792016357921	4.13894568722597	
2015/06/26 12:36:00.668	128.0	-1.94792016357921	4.13894568722597	
2015/06/26 12:36:00.670	128.0	-1.92022461622974	4.13279112114831	
2015/06/26 12:36:00.672	128.0	-1.92022461622974	4.13279112114831	
2015/06/26 12:36:00.674	128.0	-1.91407005015208	4.13894568722597	
2015/06/26 12:36:00.676	128.0	-1.91407005015208	4.13894568722597	
2015/06/26 12:36:00.678	128.0	-1.92022461622974	4.12355927203182	
2015/06/26 12:36:00.680	128.0	-1.92022461622974	4.12355927203182	
2015/06/26 12:36:00.682	128.0	-1.93253374838506	4.10201829076001	
2015/06/26 12:36:00.684	128.0	-1.93253374838506	4.10201829076001	
2015/06/26 12:36:00.686	128.0	-1.93253374838506	4.10201829076001	
2015/06/26 12:36:00.688	128.0	-1.93253374838506	4.10201829076001	
2015/06/26 12:36:00.690	128.0	-1.94176559750155	4.1112501398765	
2015/06/26 12:36:00.692	128.0	-1.94176559750155	4.1112501398765	
2015/06/26 12:36:00.694	128.0	-1.94792016357921	4.10817285683767	
2015/06/26 12:36:00.696	128.0	-1.94792016357921	4.10817285683767	
2015/06/26 12:36:00.698	128.0	-1.94176559750155	4.08355459252703	
2015/06/26 12:36:00.700	128.0	-1.94176559750155	4.08355459252703	
2015/06/26 12:36:00.702	128.0	-1.94484288054038	4.09894100772118	
2015/06/26 12:36:00.703	128.0	-1.94484288054038	4.09894100772118	
2015/06/26 12:36:00.705	128.0	-1.96022929573453	4.08663187556586	
2015/06/26 12:36:00.707	128.0	-1.96022929573453	4.08663187556586	
2015/06/26 12:36:00.709	128.0	-1.96022929573453	4.07740002644938	
2015/06/26 12:36:00.711	128.0	-1.96022929573453	4.07740002644938	
2015/06/26 12:36:00.713	128.0	-1.97869299396751	4.08047730948821	
2015/06/26 12:36:00.715	128.0	-1.97869299396751	4.08047730948821	
2015/06/26 12:36:00.717	128.0	-1.97869299396751	4.08663187556586	
2015/06/26 12:36:00.719	128.0	-1.97869299396751	4.08663187556586	
2015/06/26 12:36:00.721	128.0	-1.97869299396751	4.08663187556586	
2015/06/26 12:36:00.723	128.0	-1.96330657877336	4.09894100772118	
2015/06/26 12:36:00.725	128.0	-1.96330657877336	4.09894100772118	
2015/06/26 12:36:00.727	128.0	-1.96946114485102	4.07740002644938	
2015/06/26 12:36:00.729	128.0	-1.96946114485102	4.07740002644938	
2015/06/26 12:36:00.731	128.0	-1.96022929573453	4.07124546037172	
2015/06/26 12:36:00.733	128.0	-1.96022929573453	4.07124546037172	
2015/06/26 12:36:00.735	128.0	-1.95099744661804	4.07740002644938	
2015/06/26 12:36:00.737	128.0	-1.95099744661804	4.07740002644938	
2015/06/26 12:36:00.739	128.0	-1.94792016357921	4.08047730948821	
2015/06/26 12:36:00.741	128.0	-1.94792016357921	4.08047730948821	
2015/06/26 12:36:00.743	128.0	-1.92945646534623	4.08047730948821	
2015/06/26 12:36:00.744	128.0	-1.92945646534623	4.08047730948821	
2015/06/26 12:36:00.746	128.0	-1.92945646534623	4.08355459252703	
2015/06/26 12:36:00.748	128.0	-1.92945646534623	4.08355459252703	
2015/06/26 12:36:00.750	128.0	-1.94176559750155	4.07432274341055	
2015/06/26 12:36:00.752	128.0	-1.94176559750155	4.07432274341055	
2015/06/26 12:36:00.754	128.0	-1.95407472965687	4.07124546037172	
2015/06/26 12:36:00.756	128.0	-1.95407472965687	4.07124546037172	
2015/06/26 12:36:00.758	128.0	-1.96330657877336	4.08355459252703	
2015/06/26 12:36:00.760	128.0	-1.96330657877336	4.08355459252703	
2015/06/26 12:36:00.762	128.0	-1.96330657877336	4.08355459252703	
2015/06/26 12:36:00.764	128.0	-1.96330657877336	4.08355459252703	
2015/06/26 12:36:00.766	128.0	-1.96330657877336	4.08355459252703	
2015/06/26 12:36:00.768	128.0	-1.96330657877336	4.08355459252703	
2015/06/26 12:36:00.770	128.0	-1.9571520126957	4.07740002644938	
2015/06/26 12:36:00.772	128.0	-1.9571520126957	4.07740002644938	
2015/06/26 12:36:00.774	128.0	-1.9571520126957	4.06201361125523	
2015/06/26 12:36:00.776	128.0	-1.9571520126957	4.06201361125523	
2015/06/26 12:36:00.778	128.0	-1.96946114485102	4.06201361125523	
2015/06/26 12:36:00.780	128.0	-1.96946114485102	4.06201361125523	
2015/06/26 12:36:00.782	128.0	-1.98177027700634	4.07740002644938	
2015/06/26 12:36:00.784	128.0	-1.98177027700634	4.07740002644938	
2015/06/26 12:36:00.785	128.0	-1.96946114485102	4.07432274341055	
2015/06/26 12:36:00.787	128.0	-1.96946114485102	4.07432274341055	
2015/06/26 12:36:00.789	128.0	-1.95407472965687	4.06509089429406	
2015/06/26 12:36:00.791	128.0	-1.95407472965687	4.06509089429406	
2015/06/26 12:36:00.793	128.0	-1.95407472965687	4.07124546037172	
2015/06/26 12:36:00.795	128.0	-1.95407472965687	4.07124546037172	
2015/06/26 12:36:00.797	128.0	-1.95407472965687	4.07124546037172	
2015/06/26 12:36:00.799	128.0	-1.96638386181219	4.07740002644938	
