Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.399319172,0.07312784,0.07614122,0.05751821,-7.929048E-05,-0.01926165,0.9950516,3.360966,-3.448964,-44.15956,992.0395
0.409365177,-0.04953532,-0.04354666,-0.06496546,0.004789697,-0.01821126,0.9926526,3.360966,-3.448964,-44.15956,992.0395
0.419410705,-0.04947313,-0.1034573,-0.003639693,0.005729178,-0.0148053,0.9941571,3.360966,-3.448964,-44.15956,992.0378
0.429456711,0.01195173,0.01628368,0.05764752,-0.0001656772,-0.01245991,0.9961552,3.360966,-3.448964,-44.15956,992.0378
0.439502716,0.07339577,-0.1034982,-0.06489404,0.004766097,-0.01674529,0.9917262,3.360541,-3.086718,-44.15598,992.0378
0.449548721,-0.04932552,-0.1634088,-0.003645291,0.004258996,-0.01386813,0.9965799,3.360541,-3.086718,-44.15598,992.0378
0.459593773,0.07342336,0.07613136,0.1188669,0.004246056,-0.01289546,0.9966008,3.360541,-3.086718,-44.15598,992.0344
0.469639778,0.0121418,-0.04365051,-0.003655361,0.005289236,-0.01774676,0.9964915,3.360541,-3.086718,-44.15598,992.0344
0.479685783,-0.04906277,0.1958332,-0.0649142,0.006227349,-0.01624086,0.991729,3.360541,-3.086718,-44.15598,992.0344
0.489731312,0.07368578,-0.04380405,-0.003588486,0.003326531,-0.01918809,0.9907238,3.358424,-3.090253,-43.774,992.0344
0.499777317,-0.1103601,0.0160659,0.05764098,0.0008451536,-0.01487953,0.996098,3.358424,-3.090253,-43.774,992.0367
0.509823322,-0.1103563,0.01598931,0.1188897,0.003802286,-0.01678173,0.9950833,3.358424,-3.090253,-43.774,992.0367
0.519868374,0.07373557,-0.04388329,0.05759235,0.006707842,-0.01526912,0.9927049,3.358424,-3.090253,-43.774,992.0367
0.529914379,0.07379708,-0.1036243,-0.06483372,0.005218614,-0.01382472,0.992265,3.358424,-3.090253,-43.774,992.0367
0.539960384,-0.1715731,0.01602287,-0.1260734,0.006232087,-0.01767549,0.9883455,4.092902,-2.731831,-43.76171,992.035
0.550005913,0.1352249,0.07579888,-0.003522842,0.002875745,-0.02116037,0.993558,4.092902,-2.731831,-43.76171,992.035
0.557540417,0.0738696,-0.04399641,0.1190073,0.003287348,-0.0153183,0.9936805,4.092902,-2.731831,-43.76171,992.035
0.567585945,0.1965601,0.01576098,0.1188771,0.002838476,-0.01681817,0.9984405,4.092902,-2.731831,-43.76171,992.035
0.577631950,-0.1715935,-0.04407375,-0.00364517,0.004770652,-0.01770403,0.9897898,4.092902,-2.731831,-43.76171,992.0373
0.587677479,-0.1101693,0.1355392,0.05746897,0.002833099,-0.01918716,0.9897687,3.360966,-3.448964,-44.15956,992.0373
0.597723484,-0.1099732,-0.04415102,0.1186025,0.003774493,-0.01530879,0.993199,3.360966,-3.448964,-44.15956,992.0373
0.607769489,-0.1099891,-0.04422718,-0.003900184,0.004810656,-0.01824609,0.9974414,3.360966,-3.448964,-44.15956,992.0373
0.617815494,-0.04862312,0.01564328,0.179818,0.001308697,-0.01340405,0.9946901,3.360966,-3.448964,-44.15956,992.0356
0.627860546,0.07397076,-0.04415368,-0.003890333,-0.0005742731,-0.0206849,0.9892765,3.360966,-3.448964,-44.15956,992.0356
0.637906551,-0.04880904,0.01571671,0.05737798,-0.001555579,-0.01878993,0.9945907,3.728419,-3.450877,-44.1552,992.0356
0.647952080,0.01249938,-0.04424955,0.1185886,0.003270763,-0.01576633,0.9884024,3.728419,-3.450877,-44.1552,992.0356
0.657998085,-0.04880196,0.07536069,-0.06519679,0.0004160563,-0.01879018,0.9979328,3.728419,-3.450877,-44.1552,992.0339
0.668044090,-0.1100841,0.07530366,-0.1264937,0.006244663,-0.01769639,0.9912188,3.728419,-3.450877,-44.1552,992.0339
0.678090095,0.012664,-0.1044237,0.2410726,0.003244519,-0.01286921,0.9913383,3.728419,-3.450877,-44.1552,992.0339
0.688135624,0.2580219,-0.1044618,0.05717186,0.003371638,-0.02211656,0.992098,3.725876,-3.092166,-43.76965,992.0339
0.698181152,-0.04874976,-0.2241484,0.302173,0.001396451,-0.01830572,0.9998536,3.725876,-3.092166,-43.76965,992.0345
0.708226681,0.01261641,0.01539279,-0.004081322,0.003339471,-0.02016077,0.990703,3.725876,-3.092166,-43.76965,992.0345
0.718272686,0.01260056,-0.04449789,-0.06535885,0.002845492,-0.01873217,0.994089,3.725876,-3.092166,-43.76965,992.0345
0.728318691,0.01260398,0.1948741,-0.126521,0.004272299,-0.01579258,0.993665,3.725876,-3.092166,-43.76965,992.0345
0.738364696,0.01258814,0.1946857,-0.06534865,0.006355835,-0.02358814,0.9987558,3.360467,-2.723881,-44.21606,992.0328
0.748410225,-0.04877111,0.01488362,0.179614,0.003328263,-0.0182398,0.9940969,3.360467,-2.723881,-44.21606,992.0328
0.758455753,-0.1101304,-0.04489362,-0.004151824,0.001789554,-0.01338409,0.992772,3.360467,-2.723881,-44.21606,992.0328
0.768501759,-0.04870641,-0.1645799,0.05717451,0.004791793,-0.01821475,0.9931314,3.360467,-2.723881,-44.21606,992.0328
0.778547287,0.01264044,-0.04479977,0.05719885,0.003830444,-0.01920644,0.9940735,3.360467,-2.723881,-44.21606,992.0311
0.788593292,0.01256676,-0.04485628,0.1184674,-0.0001569288,-0.01342562,0.9951766,2.995205,-3.081269,-44.54232,992.0311
0.798639297,0.1966584,0.13472,0.05718978,0.001835208,-0.01774021,0.989805,2.995205,-3.081269,-44.54232,992.0311
0.808684826,0.01267001,0.01499619,-0.06531274,0.005280852,-0.01773283,0.9945759,2.995205,-3.081269,-44.54232,992.0311
0.818730354,0.01263483,-0.04493155,0.05712304,0.006716954,-0.01718661,0.9888323,2.995205,-3.081269,-44.54232,992.0331
0.828776360,0.01256115,-0.04506317,-0.1266236,-6.881123E-05,-0.01927907,0.997446,3.360541,-3.086718,-44.15598,992.0331
0.838821888,-0.1100452,0.01478956,-0.004091583,0.004805462,-0.02109097,0.9873224,3.360541,-3.086718,-44.15598,992.0331
0.848867893,0.07400776,0.01477099,-0.004067228,0.00472746,-0.01430316,0.9903417,3.360541,-3.086718,-44.15598,992.0331
0.858913898,0.0126484,-0.04515651,-0.1265505,0.005774102,-0.01725787,0.9969782,3.360541,-3.086718,-44.15598,992.0297
0.868959904,0.07405303,-0.1649365,-0.003999332,0.002792184,-0.01626566,0.9893524,3.360541,-3.086718,-44.15598,992.0297
0.879005432,0.01273216,0.07458684,-0.06525773,0.002750722,-0.0119165,0.9932771,2.990545,-2.726093,-43.77478,992.0297
0.889050961,0.01277394,0.01469704,-0.1877411,0.002349417,-0.01730009,0.996996,2.990545,-2.726093,-43.77478,992.0297
0.899096489,-0.04850851,0.07441831,-0.1264919,0.003280878,-0.01483197,0.9936909,2.990545,-2.726093,-43.77478,992.028
0.909142494,0.01291513,0.1343278,-0.00390232,0.0008879825,-0.01732863,0.9984403,2.990545,-2.726093,-43.77478,992.028
0.919188499,-0.04832895,-0.04526691,0.05734678,0.002856336,-0.01970136,0.9935892,2.990545,-2.726093,-43.77478,992.028
0.929234505,-0.04834531,0.1943129,0.1185574,0.002830456,-0.01775602,0.9936309,3.360894,-3.086128,-44.21965,992.028
0.939280033,0.0129433,0.07460824,-0.004060622,0.001332663,-0.0158218,0.9927225,3.360894,-3.086128,-44.21965,992.0286
0.949325562,0.01302334,0.1342355,0.1184136,0.008194427,-0.01528237,0.9970071,3.360894,-3.086128,-44.21965,992.0286
0.959371090,0.07444675,-0.1651018,0.1796245,0.00378971,-0.01676083,0.9922101,3.360894,-3.086128,-44.21965,992.0286
0.969417095,0.565043,0.01464438,-3.862083,-0.01524258,0.0137049,0.9853014,3.360894,-3.086128,-44.21965,992.0286
0.979463100,-1.888695,4.026024,-53.2249,-0.8701591,0.1812066,0.9255403,2.993514,-3.447051,-44.16392,992.0269
0.989509106,4.06162,-0.584069,-57.02204,-0.4724613,0.02373597,0.9741256,2.993514,-3.447051,-44.16392,992.0269
0.999554634,-0.784513,1.212071,-25.11382,0.02272751,-0.08260627,0.9806424,2.993514,-3.447051,-44.16392,992.0269
1.009600639,3.754903,1.63117,-5.393188,0.2020105,-0.05236312,1.004735,2.993514,-3.447051,-44.16392,992.0269
1.019645691,-0.109735,2.170013,1.159941,0.2103657,-0.06421353,0.9761775,2.993514,-3.447051,-44.16392,992.0251
1.029691696,0.9331037,0.493615,3.609708,0.2766664,-0.07380746,1.002432,2.991396,-3.450586,-43.78194,992.0251
1.039737701,3.693559,-1.302525,36.74281,0.9706265,-0.1395428,1.045609,2.991396,-3.450586,-43.78194,992.0251
1.049783706,-3.054221,2.229884,66.93621,-0.01306874,-0.005654773,0.9752968,2.991396,-3.450586,-43.78194,992.0251
1.059829235,1.485195,-0.4044549,54.07492,-0.1370158,-0.02816868,0.9850731,2.991396,-3.450586,-43.78194,992.0234
1.069875240,-0.04839152,0.4337437,40.6012,-0.02453979,0.01787331,0.9983731,2.991396,-3.450586,-43.78194,992.0234
1.079920769,-0.2937654,0.3738724,28.59734,-0.02690818,0.01153124,0.9968137,-0.3178043,-1.622136,-43.80325,992.0234
1.089966297,0.5036996,-0.584069,26.14757,0.04218777,0.001730925,0.9895213,-0.3178043,-1.622136,-43.80325,992.0234
1.100012302,-0.5391392,-0.1050983,28.22987,-0.003374587,0.006981723,0.9932352,-0.3178043,-1.622136,-43.80325,992.0258
1.107546806,-0.6618261,-1.901238,24.249,0.008546252,-0.006487467,0.9924034,-0.3178043,-1.622136,-43.80325,992.0258
1.117592811,2.405347,-7.229787,33.19065,0.0220837,0.01011931,1.006095,-0.3178043,-1.622136,-43.80325,992.0258
1.127638817,0.9331037,-7.708758,36.74281,-0.01818348,-0.01900542,0.996114,0.04922199,-1.261802,-43.79531,992.0258
1.137683868,-0.6618261,-8.427214,37.60023,0.0553263,-0.06525707,0.9913717,0.04922199,-1.261802,-43.79531,992.024
1.147729873,7.006106,-8.307471,43.60216,0.01403807,-0.01516473,0.9907512,0.04922199,-1.261802,-43.79531,992.024
1.157775879,2.65072,-8.067986,48.31797,0.09468106,-0.003095377,1.005895,0.04922199,-1.261802,-43.79531,992.024
1.167821407,0.3810127,-7.409401,49.11414,-0.009434553,-0.01119211,1.00677,0.04922199,-1.261802,-43.79531,992.024
1.177867412,-2.992878,-10.52271,11.87767,0.1411805,-0.04570445,0.9898829,0.0487957,-0.8995552,-43.79173,992.0224
1.187913418,-0.4777957,-4.954677,17.02219,-0.02185573,-0.1095521,0.9980323,0.0487957,-0.8995552,-43.79173,992.0224
1.197958469,0.565043,2.409498,27.61743,0.02580909,0.01571227,0.9793722,0.0487957,-0.8995552,-43.79173,992.0224
1.208004474,-0.109735,-0.5241976,23.63656,-0.002293499,0.00159185,1.000299,0.0487957,-0.8995552,-43.79173,992.0224
1.218050480,-0.784513,-0.224841,19.90066,-0.04409193,0.05171299,0.9948919,0.0487957,-0.8995552,-43.79173,992.0244
1.228096008,-1.950039,0.7331004,17.87961,-0.131772,0.05937012,0.9979296,0.4192176,-1.622427,-44.17651,992.0244
1.238142013,-2.931534,-0.763683,0.3637664,-0.04307029,0.181435,0.953592,0.4192176,-1.622427,-44.17651,992.0244
1.248188019,1.362508,-2.919051,-6.128118,-0.04088059,0.1753654,0.9888935,0.4192176,-1.622427,-44.17651,992.0244
1.258234024,3.509529,-3.158536,-3.67835,-0.03428824,-0.009283911,1.036642,0.4192176,-1.622427,-44.17651,992.0227
1.268279075,-0.2937654,-6.032361,3.732197,0.07574224,-0.2334316,1.004912,0.4192176,-1.622427,-44.17651,992.0227
1.278325081,-10.23141,-4.535577,18.49205,0.08465215,-0.05900847,1.117311,0.4221869,-2.343385,-44.56565,992.0227
1.288370609,-22.86816,-11.12142,13.89873,0.007031765,0.06179207,0.966569,0.4221869,-2.343385,-44.56565,992.0227
1.298416614,-27.77563,-21.29955,7.713069,-0.04153319,0.09470223,1.041297,0.4221869,-2.343385,-44.56565,992.0251
1.308462620,-38.51074,-36.26738,-6.556828,0.05962174,0.1085117,1.052534,0.4221869,-2.343385,-44.56565,992.0251
1.318508625,-39.43089,-50.09766,-53.46988,0.133604,0.2006361,1.019611,0.4221869,-2.343385,-44.56565,992.0251
1.328553676,-30.4134,-51.17535,-62.59526,0.2498442,-0.2402081,0.9602295,-0.6768479,-3.058016,-45.03153,992.0251
1.338599682,-21.94801,-35.6088,-10.47646,0.1886683,-0.4440282,1.120495,-0.6768479,-3.058016,-45.03153,992.0251
1.348645210,-32.19236,-31.77703,8.325511,-0.01489674,-0.04795589,1.101807,-0.6768479,-3.058016,-45.03153,992.0251
1.358691215,-25.81264,-37.76417,-1.657292,-0.02967403,0.06957809,1.103918,-0.6768479,-3.058016,-45.03153,992.0251
1.368737221,-26.36473,-38.1234,-6.679316,0.05752255,0.005442895,1.039807,-0.6768479,-3.058016,-45.03153,992.0251
1.378783226,-22.56144,-39.79979,-15.43723,0.1085366,-0.02160261,1.098342,-2.513271,-1.958175,-45.42455,992.0233
1.388828754,-24.52443,-36.38713,-14.27359,0.1480117,-0.1671543,1.17692,-2.513271,-1.958175,-45.42455,992.0233
1.398874283,-28.69579,-21.06006,6.549429,0.1019717,-0.1570407,1.312933,-2.513271,-1.958175,-45.42455,992.0233
1.408920288,-29.30922,-9.385155,18.73702,0.08887401,-0.02937779,1.396196,-2.513271,-1.958175,-45.42455,992.0233
1.418965816,-34.70744,0.7331004,8.75422,0.1356898,-0.08617223,1.524046,-2.513271,-1.958175,-45.42455,992.0257
1.429011822,-28.08235,18.21553,14.20495,0.09145366,-0.1749132,1.543468,-3.606027,-2.299363,-47.09645,992.0257
1.439057827,-27.46892,22.58614,27.73992,0.07993925,-0.2992991,1.436461,-3.606027,-2.299363,-47.09645,992.0257
